description,code,style,topic,keywords
"создай программу которая меняет местами значения двух вводимых переменных с использованием swap без using namespace std","#include <iostream>\n#include <utility>\n\nint main() {\n    int a, b;\n    std::cout << \"Введите a и b: \";\n    std::cin >> a >> b;\n    std::swap(a, b);\n    std::cout << \"После обмена: a=\" << a << \", b=\" << b << std::endl;\n    return 0;\n}","std","variables_operations","std::cin,std::cout,int,std::swap"
#
"создай программу которая проверяет является ли вводимый символ буквой используя тернарный оператор","#include <iostream>\nusing namespace std;\n\nint main() {\n    char ch;\n    cout << \"Введите символ: \";\n    cin >> ch;\n    cout << ch << (isalpha(ch) ? \" - буква\" : \" - не буква\") << endl;\n    return 0;\n}","using_namespace_std","variables_operations","char,cin,cout,isalpha,ternary_operator"
"создай программу которая проверяет является ли вводимый символ буквой используя тернарный оператор без using namespace std","#include <iostream>\n#include <cctype>\n\nint main() {\n    char ch;\n    std::cout << \"Введите символ: \";\n    std::cin >> ch;\n    std::cout << ch << (std::isalpha(ch) ? \" - буква\" : \" - не буква\") << std::endl;\n    return 0;\n}","std","variables_operations","char,std::cin,std::cout,std::isalpha,ternary_operator"
#
"создай программу которая выводит символ по его ASCII коду","#include <iostream>\nusing namespace std;\n\nint main() {\n    int code;\n    cout << \"Введите ASCII код: \";\n    cin >> code;\n    cout << \"Символ: \" << char(code) << endl;\n    return 0;\n}","using_namespace_std","variables_operations","char,cin,cout,int"
"создай программу которая выводит символ по его ASCII коду без using namespace std","#include <iostream>\n\nint main() {\n    int code;\n    std::cout << \"Введите ASCII код: \";\n    std::cin >> code;\n    std::cout << \"Символ: \" << char(code) << std::endl;\n    return 0;\n}","std","variables_operations","char,std::cin,std::cout,int"
#
"напиши программу которая находит ASCII код вводимого символа","#include <iostream>\nusing namespace std;\n\nint main() {\n    char ch;\n    cout << \"Введите символ: \";\n    cin >> ch;\n    cout << \"ASCII код: \" << int(ch) << endl;\n    return 0;\n}","using_namespace_std","variables_operations","char,cin,cout,int"
"напиши программу которая находит ASCII код вводимого символа без using namespace std","#include <iostream>\n\nint main() {\n    char ch;\n    std::cout << \"Введите символ: \";\n    std::cin >> ch;\n    std::cout << \"ASCII код: \" << int(ch) << std::endl;\n    return 0;\n}","std","variables_operations","char,std::cin,std::cout,int"
#
"напиши программу которая выводит следующую букву в алфавите после вводимой буквы","#include <iostream>\nusing namespace std;\n\nint main() {\n    char ch;\n    cout << \"Введите букву алфавита: \";\n    cin >> ch;\n    cout << \"Следующая буква: \" << char(ch + 1) << endl;\n    return 0;\n}","using_namespace_std","variables_operations","char,cin,cout"
"напиши программу которая выводит следующую букву в алфавите после вводимой буквы без using namespace std","#include <iostream>\n\nint main() {\n    char ch;\n    std::cout << \"Введите букву алфавита: \";\n    std::cin >> ch;\n    std::cout << \"Следующая буква: \" << char(ch + 1) << std::endl;\n    return 0;\n}","std","variables_operations","char,std::cin,std::cout"
#
"создай программу которая генерирует случайное число от 1 до 100","#include <iostream>\n#include <random>\nusing namespace std;\n\nint main() {\n    random_device rd;\n    mt19937 gen(rd());\n    uniform_int_distribution<> dis(1, 100);\n    cout << \"Случайное число: \" << dis(gen) << endl;\n    return 0;\n}","using_namespace_std","variables_operations","cout,mt19937,random_device"
"создай программу которая генерирует случайное число от 1 до 100 без using namespace std","#include <iostream>\n#include <random>\n\nint main() {\n    std::random_device rd;\n    std::mt19937 gen(rd());\n    std::uniform_int_distribution<> dis(1, 100);\n    std::cout << \"Случайное число: \" << dis(gen) << std::endl;\n    return 0;\n}","std","variables_operations","std::cout,std::mt19937,std::random_device"
#
"напиши программу которая увеличивает вводимое число на 1","#include <iostream>\nusing namespace std;\n\nint main() {\n    int num;\n    cout << \"Введите число: \";\n    cin >> num;\n    num++;\n    cout << \"Результат: \" << num << endl;\n    return 0;\n}","using_namespace_std","variables_operations","cin,cout,int"
"напиши программу которая увеличивает вводимое число на 1 без using namespace std","#include <iostream>\n\nint main() {\n    int num;\n    std::cout << \"Введите число: \";\n    std::cin >> num;\n    num++;\n    std::cout << \"Результат: \" << num << std::endl;\n    return 0;\n}","std","variables_operations","std::cin,std::cout,int"
#
"создай программу которая уменьшает вводимое число на 1","#include <iostream>\nusing namespace std;\n\nint main() {\n    int num;\n    cout << \"Введите число: \";\n    cin >> num;\n    num--;\n    cout << \"Результат: \" << num << endl;\n    return 0;\n}","using_namespace_std","variables_operations","cin,cout,int"
"создай программу которая уменьшает вводимое число на 1 без using namespace std","#include <iostream>\n\nint main() {\n    int num;\n    std::cout << \"Введите число: \";\n    std::cin >> num;\n    num--;\n    std::cout << \"Результат: \" << num << std::endl;\n    return 0;\n}","std","variables_operations","std::cin,std::cout,int"
#
"напиши программу которая генерирует случайное число от 0 до 1","#include <iostream>\n#include <random>\nusing namespace std;\n\nint main() {\n    random_device rd;\n    mt19937 gen(rd());\n    uniform_real_distribution<> dis(0.0, 1.0);\n    cout << \"Случайное число: \" << dis(gen) << endl;\n    return 0;\n}","using_namespace_std","variables_operations","cout,mt19937,random_device,uniform_real_distribution"
"напиши программу которая генерирует случайное число от 0 до 1 без using namespace std","#include <iostream>\n#include <random>\n\nint main() {\n    std::random_device rd;\n    std::mt19937 gen(rd());\n    std::uniform_real_distribution<> dis(0.0, 1.0);\n    std::cout << \"Случайное число: \" << dis(gen) << std::endl;\n    return 0;\n}","std","variables_operations","std::cout,std::random_device,std::mt19937,std::uniform_real_distribution"
#
"напиши программу которая генерирует случайное число от 1 до 6","#include <iostream>\n#include <random>\nusing namespace std;\n\nint main() {\n    random_device rd;\n    mt19937 gen(rd());\n    uniform_int_distribution<> dis(1, 6);\n    cout << \"Случайное число: \" << dis(gen) << endl;\n    return 0;\n}","using_namespace_std","variables_operations","cout,mt19937,random_device,uniform_real_distribution"
"напиши программу которая генерирует случайное число от 1 до 6 без using namespace std","#include <iostream>\n#include <random>\n\nint main() {\n    std::random_device rd;\n    std::mt19937 gen(rd());\n    std::uniform_int_distribution<> dis(1, 6);\n    std::cout << \"Случайное число: \" << dis(gen) << std::endl;\n    return 0;\n}","std","variables_operations","std::cout,std::random_device,std::mt19937,std::uniform_real_distribution"
#
"создай программу которая проверяет является ли символ цифрой используя тернарный оператор","#include <iostream>\nusing namespace std;\n\nint main() {\n    char ch;\n    cout << \"Введите символ: \";\n    cin >> ch;\n    cout << ch << (isdigit(ch) ? \" - цифра\" : \" - не цифра\") << endl;\n    return 0;\n}","using_namespace_std","variables_operations","char,cin,cout,isdigit,ternary_operator"
"создай программу которая проверяет является ли символ цифрой используя тернарный оператор без using namespace std","#include <iostream>\n#include <cctype>\n\nint main() {\n    char ch;\n    std::cout << \"Введите символ: \";\n    std::cin >> ch;\n    std::cout << ch << (std::isdigit(ch) ? \" - цифра\" : \" - не цифра\") << std::endl;\n    return 0;\n}","std","variables_operations","char,std::cin,std::cout,std::isdigit,ternary_operator"
#
"напиши программу которая демонстрирует побитовый сдвиг","#include <iostream>\nusing namespace std;\n\nint main() {\n    int x = 8;\n    cout << \"8 << 1 = \" << (x << 1) << endl;\n    cout << \"8 >> 1 = \" << (x >> 1) << endl;\n    return 0;\n}","using_namespace_std","variables_operations","bit_shift,bit_operations"
"напиши программу которая демонстрирует побитовый сдвиг без using namespace std","#include <iostream>\n\nint main() {\n    int x = 8;\n    std::cout << \"8 << 1 = \" << (x << 1) << std::endl;\n    std::cout << \"8 >> 1 = \" << (x >> 1) << std::endl;\n    return 0;\n}","std","variables_operations","bit_shift,bit_operations"
#
"создай программу которая использует макрос","#include <iostream>\n#define SQUARE(x) ((x) * (x))\nusing namespace std;\n\nint main() {\n    cout << \"Квадрат 5: \" << SQUARE(5) << endl;\n    return 0;\n}","using_namespace_std","variables_operations","macro,define,preprocessor_directive"
"создай программу которая использует макрос без using namespace std","#include <iostream>\n#define SQUARE(x) ((x) * (x))\n\nint main() {\n    std::cout << \"Квадрат 5: \" << SQUARE(5) << std::endl;\n    return 0;\n}","std","variables_operations","macro,define,preprocessor_directive"
#
"создай программу которая использует анонимный namespace","#include <iostream>\nusing namespace std;\n\nnamespace {\n    int hidden = 42;\n}\n\nint main() {\n    cout << \"Скрытая переменная: \" << hidden << endl;\n    return 0;\n}","using_namespace_std","variables_operations","anonymous_namespace,internal_linkage"
"создай программу которая использует анонимный namespace без using namespace std","#include <iostream>\n\nnamespace {\n    int hidden = 42;\n}\n\nint main() {\n    std::cout << \"Скрытая переменная: \" << hidden << std::endl;\n    return 0;\n}","std","variables_operations","anonymous_namespace,internal_linkage"
#
"создай программу которая вычисляет НОК двух чисел","#include <iostream>\nusing namespace std;\n\nint main() {\n    int a, b;\n    cout << \"Введите два числа: \";\n    cin >> a >> b;\n    int product = a * b;\n    while(b != 0) {\n        int temp = b;\n        b = a % b;\n        a = temp;\n    }\n    cout << \"НОК: \" << product / a << endl;\n    return 0;\n}","using_namespace_std","algorithms","LCM,Euclidean_algorithm,math"
"создай программу которая вычисляет НОК двух чисел без using namespace std","#include <iostream>\n\nint main() {\n    int a, b;\n    std::cout << \"Введите два числа: \";\n    std::cin >> a >> b;\n    int product = a * b;\n    while(b != 0) {\n        int temp = b;\n        b = a % b;\n        a = temp;\n    }\n    std::cout << \"НОК: \" << product / a << std::endl;\n    return 0;\n}","std","algorithms","LCM,Euclidean_algorithm,math"
#
"напиши программу которая выводит все делители числа","#include <iostream>\nusing namespace std;\n\nint main() {\n    int num;\n    cout << \"Введите число: \";\n    cin >> num;\n    cout << \"Делители: \";\n    for(int i = 1; i <= num; i++) {\n        if(num % i == 0) cout << i << \" \";\n    }\n    cout << endl;\n    return 0;\n}","using_namespace_std","algorithms","divisors,factors,modulus"
"напиши программу которая выводит все делители числа без using namespace std","#include <iostream>\n\nint main() {\n    int num;\n    std::cout << \"Введите число: \";\n    std::cin >> num;\n    std::cout << \"Делители: \";\n    for(int i = 1; i <= num; i++) {\n        if(num % i == 0) std::cout << i << \" \";\n    }\n    std::cout << std::endl;\n    return 0;\n}","std","algorithms","divisors,factors,modulus"
#
"создай программу которая проверяет является ли число степенью двойки","#include <iostream>\nusing namespace std;\n\nint main() {\n    int num;\n    cout << \"Введите число: \";\n    cin >> num;\n    bool isPower = (num > 0) && ((num & (num - 1)) == 0);\n    cout << num << (isPower ? \" - степень двойки\" : \" - не степень двойки\") << endl;\n    return 0;\n}","using_namespace_std","algorithms","power_of_two,bit_operations,binary"
"создай программу которая проверяет является ли число степенью двойки без using namespace std","#include <iostream>\n\nint main() {\n    int num;\n    std::cout << \"Введите число: \";\n    std::cin >> num;\n    bool isPower = (num > 0) && ((num & (num - 1)) == 0);\n    std::cout << num << (isPower ? \" - степень двойки\" : \" - не степень двойки\") << std::endl;\n    return 0;\n}","std","algorithms","power_of_two,bit_operations,binary"
#
"напиши программу которая демонстрирует trailing return type","#include <iostream>\nusing namespace std;\n\nauto add(int a, int b) -> int {\n    return a + b;\n}\n\nint main() {\n    cout << \"Сумма: \" << add(3, 4) << endl;\n    return 0;\n}","using_namespace_std","variables_operations","trailing_return_type,auto_return"
"напиши программу которая демонстрирует trailing return type без using namespace std","#include <iostream>\n\nauto add(int a, int b) -> int {\n    return a + b;\n}\n\nint main() {\n    std::cout << \"Сумма: \" << add(3, 4) << std::endl;\n    return 0;\n}","std","variables_operations","trailing_return_type,auto_return"
#


# ----------------------------------------------------------------------------------------------------------------------------------------
#       - типы данных                           data_types                      int, double, char, bool         (2%) ~100 строк         01
# ----------------------------------------------------------------------------------------------------------------------------------------
#
"напиши программу которая выводит размер типа int","#include <iostream>\nusing namespace std;\n\nint main() {\n    cout << \"Размер int: \" << sizeof(int) << \" байт\" << endl;\n    return 0;\n}","using_namespace_std","data_types","sizeof,cout"
"напиши программу которая выводит размер типа int без using namespace std","#include <iostream>\n\nint main() {\n    std::cout << \"Размер int: \" << sizeof(int) << \" байт\" << std::endl;\n    return 0;\n}","std","data_types","sizeof,std::cout"
#
"напиши программу которая создает константу","#include <iostream>\nusing namespace std;\n\nint main() {\n    const double PI = 3.14159;\n    cout << \"PI = \" << PI << endl;\n    return 0;\n}","using_namespace_std","data_types","const,variable_declaration"
"напиши программу которая создает константу без using namespace std","#include <iostream>\n\nint main() {\n    const double PI = 3.14159;\n    std::cout << \"PI = \" << PI << std::endl;\n    return 0;\n}","std","data_types","const,variable_declaration"
#
"создай программу которая использует typedef","#include <iostream>\nusing namespace std;\n\ntypedef unsigned long ulong;\n\nint main() {\n    ulong bigNumber = 123456789;\n    cout << \"Большое число: \" << bigNumber << endl;\n    return 0;\n}","using_namespace_std","data_types","typedef,type_alias"
"создай программу которая использует typedef без using namespace std","#include <iostream>\n\ntypedef unsigned long ulong;\n\nint main() {\n    ulong bigNumber = 123456789;\n    std::cout << \"Большое число: \" << bigNumber << std::endl;\n    return 0;\n}","std","data_types","typedef,type_alias"
#
"напиши программу которая демонстрирует переполнение","#include <iostream>\nusing namespace std;\n\nint main() {\n    int max_int = 2147483647;\n    cout << \"Максимальный int: \" << max_int << endl;\n    cout << \"После инкремента: \" << max_int + 1 << endl;\n    return 0;\n}","using_namespace_std","data_types","overflow,integer_limits"
"напиши программу которая демонстрирует переполнение без using namespace std","#include <iostream>\n#include <climits>\n\nint main() {\n    int max_int = INT_MAX;\n    std::cout << \"Максимальный int: \" << max_int << std::endl;\n    std::cout << \"После инкремента: \" << max_int + 1 << std::endl;\n    return 0;\n}","std","data_types","overflow,integer_limits,climits"
#
"создай программу которая использует статическую переменную","#include <iostream>\nusing namespace std;\n\nvoid counter() {\n    static int count = 0;\n    count++;\n    cout << \"Вызов: \" << count << endl;\n}\n\nint main() {\n    counter();\n    counter();\n    counter();\n    return 0;\n}","using_namespace_std","data_types","static_variable,function_scope"
"создай программу которая использует статическую переменную без using namespace std","#include <iostream>\n\nvoid counter() {\n    static int count = 0;\n    count++;\n    std::cout << \"Вызов: \" << count << std::endl;\n}\n\nint main() {\n    counter();\n    counter();\n    counter();\n    return 0;\n}","std","data_types","static_variable,function_scope"
#
"напиши программу которая демонстрирует область видимости","#include <iostream>\nusing namespace std;\n\nint main() {\n    int x = 5;\n    {\n        int x = 10;\n        cout << \"Внутренний x: \" << x << endl;\n    }\n    cout << \"Внешний x: \" << x << endl;\n    return 0;\n}","using_namespace_std","data_types","scope,block_scope,variable_shadowing"
"напиши программу которая демонстрирует область видимости без using namespace std","#include <iostream>\n\nint main() {\n    int x = 5;\n    {\n        int x = 10;\n        std::cout << \"Внутренний x: \" << x << std::endl;\n    }\n    std::cout << \"Внешний x: \" << x << std::endl;\n    return 0;\n}","std","data_types","scope,block_scope,variable_shadowing"
#
"напиши программу которая проверяет alignment переменной","#include <iostream>\nusing namespace std;\n\nint main() {\n    int x;\n    cout << \"Alignment of int: \" << alignof(int) << endl;\n    return 0;\n}","using_namespace_std","data_types","alignment,alignof,memory_alignment"
"напиши программу которая проверяет alignment переменной без using namespace std","#include <iostream>\n\nint main() {\n    int x;\n    std::cout << \"Alignment of int: \" << alignof(int) << std::endl;\n    return 0;\n}","std","data_types","alignment,alignof,memory_alignment"
#
"напиши программу которая демонстрирует преобразование типов","#include <iostream>\nusing namespace std;\n\nint main() {\n    double d = 3.14;\n    int i = static_cast<int>(d);\n    cout << \"Преобразованное значение: \" << i << endl;\n    return 0;\n}","using_namespace_std","data_types","static_cast,type_conversion"
"напиши программу которая демонстрирует преобразование типов без using namespace std","#include <iostream>\n\nint main() {\n    double d = 3.14;\n    int i = static_cast<int>(d);\n    std::cout << \"Преобразованное значение: \" << i << std::endl;\n    return 0;\n}","std","data_types","static_cast,type_conversion"
#
"напиши программу которая демонстрирует constexpr","#include <iostream>\nusing namespace std;\n\nconstexpr int square(int x) {\n    return x * x;\n}\n\nint main() {\n    constexpr int result = square(5);\n    cout << \"Результат: \" << result << endl;\n    return 0;\n}","using_namespace_std","data_types","constexpr,compile_time,constant_expression"
"напиши программу которая демонстрирует constexpr без using namespace std","#include <iostream>\n\nconstexpr int square(int x) {\n    return x * x;\n}\n\nint main() {\n    constexpr int result = square(5);\n    std::cout << \"Результат: \" << result << std::endl;\n    return 0;\n}","std","data_types","constexpr,compile_time,constant_expression"
#
"создай программу которая использует decltype","#include <iostream>\nusing namespace std;\n\nint main() {\n    int x = 5;\n    decltype(x) y = 10;\n    cout << \"y = \" << y << endl;\n    return 0;\n}","using_namespace_std","data_types","decltype,type_inference"
"создай программу которая использует decltype без using namespace std","#include <iostream>\n\nint main() {\n    int x = 5;\n    decltype(x) y = 10;\n    std::cout << \"y = \" << y << std::endl;\n    return 0;\n}","std","data_types","decltype,type_inference"
#
"создай программу которая использует nullptr","#include <iostream>\nusing namespace std;\n\nint main() {\n    int* ptr = nullptr;\n    cout << \"Указатель: \" << ptr << endl;\n    return 0;\n}","using_namespace_std","data_types","nullptr,pointer_initialization"
"создай программу которая использует nullptr без using namespace std","#include <iostream>\n\nint main() {\n    int* ptr = nullptr;\n    std::cout << \"Указатель: \" << ptr << std::endl;\n    return 0;\n}","std","data_types","nullptr,pointer_initialization"
#
"создай программу которая использует initializer list","#include <iostream>\n#include <initializer_list>\nusing namespace std;\n\nint sum(initializer_list<int> nums) {\n    int total = 0;\n    for(int num : nums) total += num;\n    return total;\n}\n\nint main() {\n    cout << \"Сумма: \" << sum({1, 2, 3, 4, 5}) << endl;\n    return 0;\n}","using_namespace_std","data_types","initializer_list,braced_init"
"создай программу которая использует initializer list без using namespace std","#include <iostream>\n#include <initializer_list>\n\nint sum(std::initializer_list<int> nums) {\n    int total = 0;\n    for(int num : nums) total += num;\n    return total;\n}\n\nint main() {\n    std::cout << \"Сумма: \" << sum({1, 2, 3, 4, 5}) << std::endl;\n    return 0;\n}","std","data_types","initializer_list,braced_init,std::initializer_list"
#


# ----------------------------------------------------------------------------------------------------------------------------------------
#       - арифметические операции               arithmetic                                                      (4%) ~200 строк         27
# ----------------------------------------------------------------------------------------------------------------------------------------
#
"создай программу которая вычисляет площадь прямоугольника","#include <iostream>\nusing namespace std;\n\nint main() {\n    double length, width;\n    cout << \"Введите длину и ширину: \";\n    cin >> length >> width;\n    cout << \"Площадь: \" << length * width << endl;\n    return 0;\n}","using_namespace_std","arithmetic","cin,cout,double,multiplication"
"создай программу которая вычисляет площадь прямоугольника без using namespace std","#include <iostream>\n\nint main() {\n    double length, width;\n    std::cout << \"Введите длину и ширину: \";\n    std::cin >> length >> width;\n    std::cout << \"Площадь: \" << length * width << std::endl;\n    return 0;\n}","std","arithmetic","std::cin,std::cout,double,multiplication"
#
"напиши программу которая находит абсолютное значение вводимого числа (модуль вводимого числа)","#include <iostream>\n#include <cmath>\nusing namespace std;\n\nint main() {\n    double num;\n    cout << \"Введите число: \";\n    cin >> num;\n    cout << \"Абсолютное значение (модуль) числа: \" << abs(num) << endl;\n    return 0;\n}","using_namespace_std","arithmetic","abs,cin,cout,double"
"напиши программу которая находит абсолютное значение вводимого числа (модуль вводимого числа) без using namespace std","#include <iostream>\n#include <cmath>\n\nint main() {\n    double num;\n    std::cout << \"Введите число: \";\n    std::cin >> num;\n    std::cout << \"Абсолютное значение (модуль) числа: \" << std::abs(num) << std::endl;\n    return 0;\n}","std","arithmetic","std::abs,std::cin,std::cout,double"
#
"создай программу которая округляет число до ближайшего целого","#include <iostream>\n#include <cmath>\nusing namespace std;\n\nint main() {\n    double num;\n    cout << \"Введите число: \";\n    cin >> num;\n    cout << \"Округленное значение: \" << round(num) << endl;\n    return 0;\n}","using_namespace_std","arithmetic","cin,cout,double,round"
"создай программу которая округляет число до ближайшего целого без using namespace std","#include <iostream>\n#include <cmath>\n\nint main() {\n    double num;\n    std::cout << \"Введите число: \";\n    std::cin >> num;\n    std::cout << \"Округленное значение: \" << std::round(num) << std::endl;\n    return 0;\n}","std","arithmetic","std::cin,std::cout,double,std::round"
#
"создай программу для сложения двух целых вводимых целых чисел","#include <iostream>\nusing namespace std;\n\nint main() {\n    int a, b;\n    cout << \"Введите первое число: \";\n    cin >> a;\n    cout << \"Введите второе число: \";\n    cin >> b;\n    cout << \"Сумма: \" << a + b << endl;\n    return 0;\n}","using_namespace_std","arithmetic","cin,cout,int"
"создай программу для сложения двух целых вводимых целых чисел без using namespace std","#include <iostream>\n\nint main() {\n    int a, b;\n    std::cout << \"Введите первое число: \";\n    std::cin >> a;\n    std::cout << \"Введите второе число: \";\n    std::cin >> b;\n    std::cout << \"Сумма: \" << a + b << std::endl;\n    return 0;\n}","std","arithmetic","std::cin,std::cout,int"
#
"создай программу которая вычисляет среднее арифметическое трех вводимых чисел","#include <iostream>\nusing namespace std;\n\nint main() {\n    double a, b, c;\n    cout << \"Введите три числа: \";\n    cin >> a >> b >> c;\n    \n    double average = (a + b + c) / 3.0;\n    cout << \"Среднее арифметическое: \" << average << endl;\n    return 0;\n}","using_namespace_std","arithmetic","cin,cout,double"
"создай программу которая вычисляет среднее арифметическое трех вводимых чисел без using namespace std","#include <iostream>\n\nint main() {\n    double a, b, c;\n    std::cout << \"Введите три числа: \";\n    std::cin >> a >> b >> c;\n    \n    double average = (a + b + c) / 3.0;\n    std::cout << \"Среднее арифметическое: \" << average << std::endl;\n    return 0;\n}","std","arithmetic","std::cin,std::cout,double"
#
"создай программу которая вычисляет частное двух вводимых чисел","#include <iostream>\nusing namespace std;\n\nint main() {\n    double a, b;\n    cout << \"Введите два числа: \";\n    cin >> a >> b;\n    cout << \"Частное: \" << a / b << endl;\n    return 0;\n}","using_namespace_std","arithmetic","cin,cout,double"
"создай программу которая вычисляет частное двух вводимых чисел без using namespace std","#include <iostream>\n\nint main() {\n    double a, b;\n    std::cout << \"Введите два числа: \";\n    std::cin >> a >> b;\n    std::cout << \"Частное: \" << a / b << std::endl;\n    return 0;\n}","std","arithmetic","std::cin,std::cout,double"
#
"напиши программу которая вычисляет площадь круга по вводимому радиусу","#include <iostream>\n#include <numbers>\nusing namespace std;\n\nint main() {\n    double radius;\n    cout << \"Введите радиус: \";\n    cin >> radius;\n    double area = numbers::pi * radius * radius;\n    cout << \"Площадь круга: \" << area << endl;\n    return 0;\n}","using_namespace_std","arithmetic","cin,cout,double,numbers::pi"
"напиши программу которая вычисляет площадь круга по вводимому радиусу без using namespace std","#include <iostream>\n#include <numbers>\n\nint main() {\n    double radius;\n    std::cout << \"Введите радиус: \";\n    std::cin >> radius;\n    double area = std::numbers::pi * radius * radius;\n    std::cout << \"Площадь круга: \" << area << std::endl;\n    return 0;\n}","std","arithmetic","std::cin,std::cout,double,std::numbers::pi"
#
"напиши программу которая вычисляет синус вводимого угла","#include <iostream>\n#include <cmath>\nusing namespace std;\n\nint main() {\n    double angle;\n    cout << \"Введите угол в радианах: \";\n    cin >> angle;\n    cout << \"sin(\" << angle << \") = \" << sin(angle) << endl;\n    return 0;\n}","using_namespace_std","arithmetic","cin,cout,double,sin"
"напиши программу которая вычисляет синус вводимого угла без using namespace std","#include <iostream>\n#include <cmath>\n\nint main() {\n    double angle;\n    std::cout << \"Введите угол в радианах: \";\n    std::cin >> angle;\n    std::cout << \"sin(\" << angle << \") = \" << std::sin(angle) << std::endl;\n    return 0;\n}","std","arithmetic","std::cin,std::cout,double,std::sin"
#
"создай программу которая вычисляет корни квадратного уравнения","#include <iostream>\n#include <cmath>\n#include <complex>\nusing namespace std;\n\nint main() {\n    double a, b, c;\n    cout << \"Введите коэффициенты a, b, c: \";\n    cin >> a >> b >> c;\n    \n    double discriminant = b*b - 4*a*c;\n    \n    if (discriminant > 0) {\n        double x1 = (-b + sqrt(discriminant)) / (2*a);\n        double x2 = (-b - sqrt(discriminant)) / (2*a);\n        cout << \"Два действительных корня: \" << x1 << \", \" << x2 << endl;\n    } else if (discriminant == 0) {\n        double x = -b / (2*a);\n        cout << \"Один корень: \" << x << endl;\n    } else {\n        complex<double> x1(-b/(2*a), sqrt(-discriminant)/(2*a));\n        complex<double> x2(-b/(2*a), -sqrt(-discriminant)/(2*a));\n        cout << \"Два комплексных корня: \" << x1 << \", \" << x2 << endl;\n    }\n    return 0;\n}",,""using_namespace_std"","arithmetic","cin,complex,cout,double,if,sqrt"
